"序号","国名","设馆日期","总领事英文名","总领事中文名","领区","馆址","邮政编码","联系电话","传真"
"1","美国","1979.08.31","James Marx Levy","李靖","粤桂闽琼","广州市天河区华就路43号","510623","38145000","38145001"
"2","日本","1980.03.01","Ishizuka Hideki","石塚英树","粤桂闽琼","广州市越秀区环市东路368号花园酒店东楼1-3楼","510064","83343009","83338972"
"3","泰国","1989.02.12","Krongkanit Rakcharoen","孔雀丽","粤琼","广州市海珠区赤岗领馆区友和路36号","510310","83858988-0","83889567"
"4","波兰","1989.07.22","Adam Bralczyk","亚当·布拉尔赤克","粤桂琼","广州市荔湾区沙面大街63号","510133","81219993","81219996"
"5","澳大利亚","1992.12.09","Jason Clint Robertson","陆志成","粤桂闽琼湘","广州市天河区临江大道3号发展中心12楼","510623","38140111","38140112"
"6","越南","1993.01.18","DangTheHung","邓世雄","粤","广州市越秀区环市东路368号花园酒店东楼四楼P01","510064","83305911","83305915"
"7","马来西亚","1993.10.24","Beh Ching Chye","马振财","粤闽琼赣湘","广州市天河区天河北路233号中信广场1915-1918室","510613","38770765","38770769"
"8","德国","1995.11.07","Martin Fleischer","冯马丁","粤桂闽琼","广州市天河区天河路208号粤海天河城大厦14楼","510620","83130121","85168133"
"9","英国","1997.01.14","KarenMaddocks","梅凯伦","粤桂湘闽琼赣","广州市天河区珠江西路5号广州国际金融中心2201室","510623","83143000","83312799"
"10","法国","1997.04.24","Siv-Leng Chhuor","周丽君","粤桂闽琼","广州市天河区冼村路5号凯华国际中心19楼1901-1907室","510623","28292000","28292001"
"11","菲律宾","1997.05.23","Marshall Louis M.Alferez","陆毅","粤桂湘琼","广州市越秀区环市东路339号广东国际大厦主楼706-712室","510098","83311461","83330573"
"12","荷兰","1997.09.15","MarjoJohannaJacobaCrompvoets","郭媚姚","粤桂闽琼","广州市天河区天河路208号粤海天河城大厦3401室","510620","38132200","38132299"
"13","加拿大","1997.11.20","RachaelBedlington","白静芳","粤桂闽琼湘赣","广州市天河区天河路385号太古汇一座26楼","510620","86116100","86116196"
"14","柬埔寨","1998.07.01","HengPoeu","兴波","粤闽琼","广州市越秀区环市东路368号花园酒店东楼8楼804-808室","510064","83879005","83879006"
"15","丹麦","1998.09.23","Anja Villefrance","安雅","粤桂闽琼","广州市越秀区流花路122号中国大酒店商业大厦15楼1578室","510015","28297300","86670315"
"16","意大利","1998.11.04","Lucia Pasqualini","白露茜","粤桂闽琼湘赣","广州市天河区华夏路8号合景国际金融广场1403","510623","38396225","85506370"
